Day of created_at_local,Id (Hist Views),id (hist_projects),project_id,username,action_view,created_at_local,Name (Hist Views),Name (Hist Workbooks),Site,Action,Created At,Day of the week,Number of Records,tz_offset_days
2022년 3월 10일,3568,4,4,5947,Access View,2022-03-10 오전 10:06:42,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 1:06:42,Thursday,1,0.375
2022년 3월 10일,3569,4,4,5947,Access View,2022-03-10 오전 10:06:48,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 1:06:48,Thursday,1,0.375
2022년 3월 10일,3566,4,4,5947,Access View,2022-03-10 오전 10:06:56,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 1:06:56,Thursday,1,0.375
2022년 3월 10일,3566,4,4,5947,Access View,2022-03-10 오전 10:12:22,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 1:12:22,Thursday,1,0.375
2022년 3월 10일,3569,4,4,5947,Access View,2022-03-10 오전 10:18:12,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 1:18:12,Thursday,1,0.375
2022년 3월 10일,3573,4,4,5947,Access View,2022-03-10 오전 10:21:32,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 1:21:32,Thursday,1,0.375
2022년 3월 10일,3570,4,4,5947,Access View,2022-03-10 오전 10:21:39,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 1:21:39,Thursday,1,0.375
2022년 3월 10일,3573,4,4,5947,Access View,2022-03-10 오전 10:22:15,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 1:22:15,Thursday,1,0.375
2022년 3월 10일,3571,4,4,5947,Access View,2022-03-10 오전 10:22:16,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 1:22:16,Thursday,1,0.375
2022년 3월 10일,3572,4,4,5947,Access View,2022-03-10 오전 10:22:26,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 1:22:26,Thursday,1,0.375
2022년 3월 10일,3571,4,4,5947,Access View,2022-03-10 오전 10:22:30,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 1:22:30,Thursday,1,0.375
2022년 3월 10일,3570,4,4,5947,Access View,2022-03-10 오전 10:22:47,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 1:22:47,Thursday,1,0.375
2022년 3월 10일,3573,4,4,5947,Access View,2022-03-10 오전 10:23:21,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 1:23:21,Thursday,1,0.375
