Day of created_at_local,Id (Hist Views),id (hist_projects),project_id,username,action_view,created_at_local,Name (Hist Views),Name (Hist Workbooks),Site,Action,Created At,Day of the week,Number of Records,tz_offset_days
2022년 3월 10일,3602,4,4,5947,Access View,2022-03-10 오후 2:58:27,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 5:58:27,Thursday,1,0.375
2022년 3월 10일,3603,4,4,5947,Access View,2022-03-10 오후 3:01:10,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 6:01:10,Thursday,1,0.375
2022년 3월 10일,3604,4,4,5947,Access View,2022-03-10 오후 3:01:17,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 6:01:17,Thursday,1,0.375
2022년 3월 10일,3605,4,4,5947,Access View,2022-03-10 오후 3:01:52,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 6:01:52,Thursday,1,0.375
2022년 3월 10일,3605,4,4,5947,Access View,2022-03-10 오후 3:03:12,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 6:03:12,Thursday,1,0.375
2022년 3월 10일,3604,4,4,5947,Access View,2022-03-10 오후 3:03:33,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 6:03:33,Thursday,1,0.375
2022년 3월 10일,3605,4,4,5947,Access View,2022-03-10 오후 3:08:20,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 6:08:20,Thursday,1,0.375
2022년 3월 10일,3604,4,4,5947,Access View,2022-03-10 오후 3:09:27,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 6:09:27,Thursday,1,0.375
2022년 3월 10일,3604,4,4,5947,Access View,2022-03-10 오후 3:10:27,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 6:10:27,Thursday,1,0.375
2022년 3월 10일,3609,4,4,5947,Access View,2022-03-10 오후 3:23:02,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 6:23:02,Thursday,1,0.375
