name (hist_projects),id (hist_projects),project_id,Id (Hist Views),username,action_view,created_at_local,Name (Hist Views),Name (Hist Workbooks),Site,Action,Created At,Number of Records,tz_offset_days
EIS,4,4,554,admin,Access View,2021-09-16 오후 5:27:35,주요 재무 현황 및 지표,경영현황,Default,Access View ,2021-09-16 오전 8:27:35,1,0.375
EIS,4,4,553,admin,Access View,2021-09-16 오후 5:27:57,재무제표 및 부문별 정보,경영현황,Default,Access View ,2021-09-16 오전 8:27:57,1,0.375
EIS,4,4,562,admin,Access View,2021-09-16 오후 5:36:30,카드,"수주,공급 현황(210916)",Default,Access View ,2021-09-16 오전 8:36:30,1,0.375
EIS,4,4,580,admin,Access View,2021-09-16 오후 5:40:46,카드,"수주,공급 현황(210916)",Default,Access View ,2021-09-16 오전 8:40:46,1,0.375
EIS,4,4,554,admin,Access View,2021-09-16 오후 5:42:48,주요 재무 현황 및 지표,경영현황,Default,Access View ,2021-09-16 오전 8:42:48,1,0.375
EIS,4,4,598,admin,Access View,2021-09-16 오후 5:43:22,카드,"수주, 공급, 판매",Default,Access View ,2021-09-16 오전 8:43:22,1,0.375
EIS,4,4,599,admin,Access View,2021-09-16 오후 5:43:28,수주/공급 현황,"수주, 공급, 판매",Default,Access View ,2021-09-16 오전 8:43:28,1,0.375
EIS,4,4,600,admin,Access View,2021-09-16 오후 5:43:34,수주/공급/분양,"수주, 공급, 판매",Default,Access View ,2021-09-16 오전 8:43:34,1,0.375
EIS,4,4,604,admin,Access View,2021-09-16 오후 5:46:45,카드,재무현황,Default,Access View ,2021-09-16 오전 8:46:45,1,0.375
EIS,4,4,605,admin,Access View,2021-09-16 오후 5:46:48,자금,재무현황,Default,Access View ,2021-09-16 오전 8:46:48,1,0.375
EIS,4,4,600,admin,Access View,2021-09-17 오전 9:08:34,수주/공급/분양,"수주, 공급, 판매",Default,Access View ,2021-09-17 오전 12:08:34,1,0.375
EIS,4,4,554,admin,Access View,2021-09-17 오전 9:10:12,주요 재무 현황 및 지표,경영현황,Default,Access View ,2021-09-17 오전 12:10:12,1,0.375
EIS,4,4,333,admin,Access View,2021-09-17 오전 9:27:48,HR 현황,HR_인사통계_개발_0915,Default,Access View ,2021-09-17 오전 12:27:48,1,0.375
기본값,3,1,305,admin,Access View,2021-09-17 오전 9:32:16,자금,재무현황,Default,Access View ,2021-09-17 오전 12:32:16,1,0.375
기본값,3,1,306,admin,Access View,2021-09-17 오전 9:32:18,카드,"수주, 공급, 판매",Default,Access View ,2021-09-17 오전 12:32:18,1,0.375
기본값,3,1,306,admin,Access View,2021-09-17 오전 9:32:21,카드,"수주, 공급, 판매",Default,Access View ,2021-09-17 오전 12:32:21,1,0.375
기본값,3,1,306,admin,Access View,2021-09-17 오전 9:32:29,카드,"수주, 공급, 판매",Default,Access View ,2021-09-17 오전 12:32:29,1,0.375
기본값,3,1,305,admin,Access View,2021-09-17 오전 9:32:37,자금,재무현황,Default,Access View ,2021-09-17 오전 12:32:37,1,0.375
기본값,3,1,26,admin,Access View,2021-09-17 오전 9:32:40,인력운영 정보,현산_인사,Default,Access View ,2021-09-17 오전 12:32:40,1,0.375
기본값,3,1,123,admin,Access View,2021-09-17 오전 9:32:42,HR 현황,HR_인사통계_개발_0909,Default,Access View ,2021-09-17 오전 12:32:42,1,0.375
기본값,3,1,123,admin,Access View,2021-09-17 오전 9:34:17,HR 현황,HR_인사통계_개발_0909,Default,Access View ,2021-09-17 오전 12:34:17,1,0.375
기본값,3,1,123,admin,Access View,2021-09-17 오전 9:34:41,HR 현황,HR_인사통계_개발_0909,Default,Access View ,2021-09-17 오전 12:34:41,1,0.375
기본값,3,1,152,admin,Access View,2021-09-17 오전 9:34:41,주요 재무 현황 및 지표,주요 재무 현황 및 지표,Default,Access View ,2021-09-17 오전 12:34:41,1,0.375
기본값,3,1,124,admin,Access View,2021-09-17 오전 9:34:43,근무지별 인원수,HR_인사통계_개발_0909,Default,Access View ,2021-09-17 오전 12:34:43,1,0.375
기본값,3,1,125,admin,Access View,2021-09-17 오전 9:34:45,채용구분별 인원수,HR_인사통계_개발_0909,Default,Access View ,2021-09-17 오전 12:34:45,1,0.375
기본값,3,1,126,admin,Access View,2021-09-17 오전 9:34:46,성별 인원수,HR_인사통계_개발_0909,Default,Access View ,2021-09-17 오전 12:34:46,1,0.375
기본값,3,1,123,admin,Access View,2021-09-17 오전 9:34:47,HR 현황,HR_인사통계_개발_0909,Default,Access View ,2021-09-17 오전 12:34:47,1,0.375
